Total Population,Total Citizen Income,Hispanic or Latino,Total Citizen Educated in US,Total Households,White Race,Total Families,Citizen College Degree,Citizen Some College  Education,Citizen Income over 75000,Citizen High School  Graduate,Citizen No Income,Pacific Islander Race,Citizen Graduate or Professional Degree,Citizen Income 1-9999,Citizen Less than High School  Education,Citizen Income 15000-24999,Citizen Income 15000-24999,Citizen Income 35000-49999,Case Rate Categories
54571,44109,53261,36757,20221,9643,14613,5316,10697,5298,12363,6377,466,3860,6955,4521,6000,6000,5727,2
182265,166364,174273,143022,73180,17105,41898,29237,45286,17954,39771,20201,3631,14731,25080,13997,26852,26852,21502,2
27457,21627,26070,18434,9820,12875,6015,1403,4707,1019,6549,3968,894,815,5090,4960,3419,3419,1820,3
22915,18743,22509,15859,7953,5047,5201,1289,3971,953,6958,4170,185,808,3268,2833,2926,2926,1860,2
57322,46501,52696,39475,21578,761,14106,3416,13583,2690,12740,10165,2347,1756,6561,7980,6956,6956,5639,2
10914,8684,10137,7377,3745,7666,2430,485,1575,473,2699,1185,569,505,2075,2113,1184,1184,842,5
20947,16368,20756,13958,8491,9095,5056,1342,3423,731,5637,2574,48,911,3237,2645,3021,3021,1630,5
118572,94767,114679,78975,47331,24382,27126,8092,26168,6383,25440,12430,1894,6021,17540,13254,15252,15252,10474,1
34215,27895,33679,23698,13933,13257,7703,2131,6894,1340,9109,3618,214,1027,4790,4537,5369,5369,3307,3
25989,21691,25669,18797,10626,1208,5566,1237,5424,1257,7179,2768,123,1107,4057,3850,3832,3832,2637,2
43643,35065,40223,29697,16558,4230,10960,2809,6920,2698,12902,5918,1854,1675,6322,5391,5085,5085,3936,2
13859,11010,13786,9449,5866,6012,3141,745,2702,664,3766,1494,28,355,2487,1881,1752,1752,1162,3
25833,20199,25562,16921,10337,11336,6389,1422,4089,1482,7503,4732,67,771,4020,3136,2583,2583,1915,2
13932,11066,13533,9455,5670,2066,3144,562,2772,621,3188,1323,172,408,2268,2525,1887,1887,1134,2
14972,12070,14665,10387,5891,498,3551,807,2705,674,3887,1511,151,476,2560,2512,2235,2235,1356,1
49948,41118,46768,34736,19849,8359,12084,5111,11594,4346,10190,5609,1623,2766,7211,5075,6502,6502,4371,2
54428,44836,53335,38423,22773,8768,12034,4403,12077,2776,12958,5637,510,2804,7851,6181,7826,7826,5655,2
13228,10339,13067,8772,5625,6149,3042,458,1954,252,4208,1963,97,310,2036,1842,1834,1834,974,3
11539,9422,11309,8117,4794,3582,2370,611,2215,446,3123,1176,135,281,1773,1887,1783,1783,1024,2
37765,30711,37282,26416,15531,4716,8523,2740,8177,2093,9397,4529,135,1359,5404,4743,5035,5035,3168,2
13906,11275,13702,9588,5652,3254,3308,1143,2420,632,3625,1488,99,419,2207,1981,1969,1969,1407,3
80406,66508,76952,56720,31864,856,18641,5409,17778,4084,20338,12443,1759,3048,10854,10147,11007,11007,7644,2
