Full Name,Country Name,State,State Abbr,Total Population,Households SNAP,Estimated Individuals SNAP,Total Citizen Educated in US,Citizen Less than High School  Education,Citizen High School  Graduate,Citizen Some College  Education,Citizen College Degree,Citizen Graduate or Professional Degree,Total Citizen Income,Citizen No Income,Citizen Income 1-9999,Citizen Income 10000-14999,Citizen Income 15000-24999,Citizen Income 25000-34999,Citizen Income 35000-49999,Citizen Income 50000-64999,Citizen Income 65000-74999,Citizen Income over 75000,One Race Population,White Race,Black Race,Native American Race,Asian Race,Pacific Islander Race,Other Race Alone,Hispanic or Latino,Median Age,Male Median Age,Female Median Age,Total Households,Average Household Size,Total Families,Total Confirmed Cases,Total Deaths,Case Rate per 1000,Death Rate 1000,Case Rate Categories,Death Rate Categories,Total Population_iqr,Households SNAP_iqr,Estimated Individuals SNAP_iqr,Total Citizen Educated in US_iqr,Citizen Less than High School  Education_iqr,Citizen High School  Graduate_iqr,Citizen Some College  Education_iqr,Citizen College Degree_iqr,Citizen Graduate or Professional Degree_iqr,Total Citizen Income_iqr,Citizen No Income_iqr,Citizen Income 1-9999_iqr,Citizen Income 10000-14999_iqr,Citizen Income 15000-24999_iqr,Citizen Income 25000-34999_iqr,Citizen Income 35000-49999_iqr,Citizen Income 50000-64999_iqr,Citizen Income 65000-74999_iqr,Citizen Income over 75000_iqr,One Race Population_iqr,White Race_iqr,Black Race_iqr,Native American Race_iqr,Asian Race_iqr,Pacific Islander Race_iqr,Other Race Alone_iqr,Hispanic or Latino_iqr,Median Age_iqr,Male Median Age_iqr,Female Median Age_iqr,Total Households_iqr,Average Household Size_iqr,Total Families_iqr,Total Confirmed Cases_iqr,Total Deaths_iqr,Case Rate per 1000_iqr,Death Rate 1000_iqr,Total Population_iqr_bc,Total Citizen Educated in US_iqr_bc,Citizen Less than High School  Education_iqr_bc,Citizen High School  Graduate_iqr_bc,Citizen Some College  Education_iqr_bc,Citizen College Degree_iqr_bc,Total Citizen Income_iqr_bc,Citizen No Income_iqr_bc,Citizen Income 1-9999_iqr_bc,Citizen Income 10000-14999_iqr_bc,Citizen Income 15000-24999_iqr_bc,Citizen Income 25000-34999_iqr_bc,Citizen Income 35000-49999_iqr_bc,Citizen Income 50000-64999_iqr_bc,Citizen Income over 75000_iqr_bc,One Race Population_iqr_bc,Other Race Alone_iqr_bc,Hispanic or Latino_iqr_bc,Median Age_iqr_bc,Male Median Age_iqr_bc,Female Median Age_iqr_bc,Total Households_iqr_bc,Average Household Size_iqr_bc,Total Population_iqr_bc_zscore,Total Citizen Educated in US_iqr_bc_zscore,Citizen Less than High School  Education_iqr_bc_zscore,Citizen High School  Graduate_iqr_bc_zscore,Citizen Some College  Education_iqr_bc_zscore,Citizen College Degree_iqr_bc_zscore,Total Citizen Income_iqr_bc_zscore,Citizen No Income_iqr_bc_zscore,Citizen Income 1-9999_iqr_bc_zscore,Citizen Income 10000-14999_iqr_bc_zscore,Citizen Income 15000-24999_iqr_bc_zscore,Citizen Income 25000-34999_iqr_bc_zscore,Citizen Income 35000-49999_iqr_bc_zscore,Citizen Income 50000-64999_iqr_bc_zscore,Citizen Income over 75000_iqr_bc_zscore,Hispanic or Latino_iqr_bc_zscore,Median Age_iqr_bc_zscore,Male Median Age_iqr_bc_zscore,Female Median Age_iqr_bc_zscore,Total Households_iqr_bc_zscore,Average Household Size_iqr_bc_zscore
"Autauga County, Alabama",Autauga County,Alabama,AL,54571,2802,7509,36757,4521,12363,10697,5316,3860,44109,6377,6955,4235,6000,4825,5727,3352,1340,5298,42855,9643,232,474,32,466,869,53261,37.0,35.9,37.9,20221,3,14613,0,0,7.33,0.147,2,2,54571.0,2802.0,7509.0,36757.0,4521.0,12363.0,10697.0,5316.0,3860.0,44109.0,6377.0,6955.0,4235.0,6000.0,4825.0,5727.0,3352.0,1340.0,5298.0,42855.0,9643.0,232.0,474.0,32.0,466.0,869.0,53261.0,37.0,35.9,37.9,20221.0,3.0,14613.0,0.0,0.0,7.33,0.147,25.393962109499906,23.030192533600463,24.63008909893985,24.000518173801556,16.479496916378327,11.490486033563606,23.869015437895094,23.328267202773315,18.421893214851362,18.524564577967293,17.581351539000554,15.722327559507384,15.57657110056556,12.915180862900796,11.724161446467244,25.61463160970987,9.789878596608743,27.85209901856733,59.875297428393296,29.41419572107577,125.4774852797193,20.31443903498295,0.4856719448739987,0.5682433264247527,0.5548515436267197,0.4832321905389747,0.5344034886156435,0.5209674070354877,0.6592958149346756,0.5558586971223746,0.6451905283421524,0.4419093322542518,0.5194673237724927,0.44583288836118207,0.4776381562522086,0.5959262834819278,0.5279610317049716,0.9046375549106827,0.6125432659178307,-0.6943797554924486,-0.6566944981499614,-0.7730025486956403,0.5314029629351001,1.2053636253116902
"Baldwin County, Alabama",Baldwin County,Alabama,AL,182265,6644,16344,143022,13997,39771,45286,29237,14731,166364,20201,25080,16030,26852,20222,21502,13466,5057,17954,156153,17105,1216,1348,89,3631,2723,174273,41.1,40.1,42.2,73180,2,41898,400,8,2.2,0.049,2,1,150073.5,6644.0,16344.0,103114.0,12942.5,33918.0,32031.75,14823.0,8459.125,124000.25,16089.5,22224.0,12056.25,19035.0,14998.5,15660.25,10333.0,4120.25,11040.0,126090.75,13646.5,1123.375,1348.0,89.0,3631.0,2723.0,140466.75,41.1,40.1,42.2,57984.0,2.0,34798.25,400.0,8.0,2.2,0.049,30.283200382124615,27.544205504596306,32.28103327682024,29.739068159437817,19.840587853980374,13.344409105109914,28.533103497035153,28.98704518989858,23.185883611605703,23.295029031058238,22.07704730227515,19.509204115046654,18.73118731612222,15.760823280724251,13.09128323679419,31.14715742649349,12.226061342190219,33.32552716789569,67.92022724808537,32.7393707027029,146.42376972001009,24.444291448010652,0.4002283303947797,1.5527167698711226,1.551936585508928,1.6006645695490853,1.5851401669336111,1.5444876363373243,1.499318930499762,1.546775923949301,1.5593055863867105,1.5679571319887944,1.578626471590639,1.5687788700176468,1.5615317856785456,1.5408074487542736,1.523816509942033,1.4997177724829795,1.5634051414578405,0.13870106833848622,0.19353012996580415,0.09613082854593626,1.555849990132969,-0.7969481557906208
"Barbour County, Alabama",Barbour County,Alabama,AL,27457,2468,6096,18434,4960,6549,4707,1403,815,21627,3968,5090,2762,3419,1982,1820,1150,417,1019,13180,12875,114,107,29,894,258,26070,39.0,37.2,41.6,9820,2,6015,401,9,9.579,0.036000000000000004,3,1,27457.0,2468.0,6096.0,18434.0,4960.0,6549.0,4707.0,1403.0,815.0,21627.0,3968.0,5090.0,2762.0,3419.0,1982.0,1820.0,1150.0,417.0,1019.0,13180.0,12875.0,114.0,107.0,29.0,894.0,258.0,26070.0,39.0,37.2,41.6,9820.0,2.0,6015.0,401.0,9.0,9.579,0.036000000000000004,22.442566551902903,20.339793039148383,25.23487514671126,20.874192318349873,14.22470123787168,9.259826383444706,21.010092558150774,20.80207501837236,17.276611208756453,16.807982313305434,15.651746543301881,13.12700526612278,12.432639727863405,10.51026304985547,8.89725088179132,20.486131702781098,7.495873734673706,24.30626098028628,63.78022891231018,30.44595894396171,143.4435006893937,17.79424366712448,0.4002283303947797,-0.0260354518930058,-0.039421691705570805,0.5715621399466768,-0.03803122972247027,-0.1656635210584792,-0.3514287926917413,-0.05153891111030912,0.23711120087440227,0.1712030176660956,0.13834430598730235,-0.03614860909801649,-0.2652044632128803,-0.3457545220391023,-0.31365932221950565,-0.32585892739793976,-0.003451338460917524,-0.2900103438834175,-0.39287965913283984,-0.02753078289889291,-0.0937541599722677,-0.7969481557906208
"Bibb County, Alabama",Bibb County,Alabama,AL,22915,933,2426,15859,2833,6958,3971,1289,808,18743,4170,3268,1835,2926,2036,1860,1044,651,953,17381,5047,64,22,13,185,203,22509,37.8,36.5,39.5,7953,3,5201,263,1,5.28,0.044000000000000004,2,1,22915.0,933.0,2426.0,15859.0,2833.0,6958.0,3971.0,1289.0,808.0,18743.0,4170.0,3268.0,1835.0,2926.0,2036.0,1860.0,1044.0,651.0,953.0,17381.0,5047.0,64.0,22.0,13.0,185.0,203.0,22509.0,37.8,36.5,39.5,7953.0,3.0,5201.0,263.0,1.0,5.28,0.044000000000000004,21.71097800369291,19.785502538951437,21.762171469563878,21.15750025369319,13.783454807204368,9.124356123486935,20.468259177297934,21.055583501710633,15.7401631190014,15.279015375808207,15.144999659143274,13.200997685457207,12.488175879787628,10.306107934322057,8.789127477130446,21.611601105559224,7.075959595299007,23.623864588374573,61.4327264951742,29.890687124544023,133.15838318645717,17.102271156742077,0.4856719448739987,-0.17334459435694574,-0.16185704360972247,0.06436832944013968,0.013842856879347892,-0.30003199137943776,-0.41281113998688695,-0.16665509767217834,0.2780627848539812,-0.19196186025929401,-0.20112354551558595,-0.16272509630860904,-0.24402608288645666,-0.3291201486766228,-0.3851050488296584,-0.3729228390592873,-0.1219994760032951,-0.5331024890536293,-0.5348588869257029,-0.4542956793718432,-0.26540416347546647,1.2053636253116902
"Blount County, Alabama",Blount County,Alabama,AL,57322,2244,5902,39475,7980,12740,13583,3416,1756,46501,10165,6561,4115,6956,5184,5639,3549,1642,2690,53068,761,307,117,38,2347,684,52696,39.0,38.0,40.0,21578,3,14106,121,1,2.2680000000000002,0.017,2,1,57322.0,2244.0,5902.0,39475.0,7980.0,12740.0,13583.0,3416.0,1756.0,46501.0,10165.0,6561.0,4115.0,6956.0,5184.0,5639.0,3549.0,1642.0,2690.0,53068.0,761.0,307.0,117.0,38.0,2347.0,684.0,52696.0,39.0,38.0,40.0,21578.0,3.0,14106.0,121.0,1.0,2.2680000000000002,0.017,25.61621200981091,23.322729031796438,28.541405989463524,24.157093945642387,17.176145474100096,10.72836563725792,24.09194314612178,26.050817002816448,18.203866286297185,18.405152316032332,18.115532654049964,15.945381619117134,15.531037259208674,13.051448036877161,10.52253405034556,26.642446402422628,9.314651410317854,27.796283192031265,63.78022891231018,31.079734911738367,135.5864340114363,20.552949629633474,0.4856719448739987,0.6129944946977046,0.6194689402602654,1.054486147753329,0.5630727355196357,0.7331109951678841,0.3139747174382039,0.6032212047804306,1.084989328393669,0.3903750673345377,0.4929548969776295,0.5792619654623822,0.541481503317495,0.5822878355247871,0.5756488265095068,0.3815936700246721,0.602846757613175,-0.2900103438834175,-0.23082745451534395,-0.3535475003979589,0.5905676606550829,1.2053636253116902
"Bullock County, Alabama",Bullock County,Alabama,AL,10914,920,2263,7377,2113,2699,1575,485,505,8684,1185,2075,1175,1184,976,842,513,261,473,2507,7666,23,20,43,569,86,10137,38.5,37.7,39.7,3745,2,2430,130,1,29.32,0.825,5,3,10914.0,920.0,2263.0,7377.0,2113.0,2699.0,1575.0,485.0,505.0,8684.0,1185.0,2075.0,1175.0,1184.0,976.0,842.0,513.0,261.0,473.0,2507.0,7666.0,23.0,20.0,43.0,569.0,86.0,10137.0,38.5,37.7,39.7,3745.0,2.0,2430.0,130.0,1.0,11.0055,0.6695,18.893953913542653,17.13233123505308,20.108846213960643,17.05445638095457,11.527690710454104,7.614684346350539,17.727654597766154,15.33552436600388,14.267359490172634,13.729487671491169,12.418627466425756,11.269506013859326,10.557814656947514,8.868969144332352,7.687667381271504,14.609820243881357,5.654151806145416,20.17239920112908,62.80046411083234,30.842170308498364,134.12803045910843,14.78099624714679,0.4002283303947797,-0.7405669819074728,-0.7479070699756311,-0.1771024133457588,-0.7374303219942979,-0.9869578224323449,-1.0968520309894776,-0.7489151783876175,-0.6459515872863152,-0.5400833188612184,-0.5451563873831438,-0.8437250703998409,-0.7968646788720184,-0.9073083772918945,-0.8880433407366567,-0.8523659421746212,-0.7215993541674747,-0.3914684406312341,-0.2915711078747118,-0.4140616793412023,-0.8412172779931599,-0.7969481557906208
"Butler County, Alabama",Butler County,Alabama,AL,20947,1393,3385,13958,2645,5637,3423,1342,911,16368,2574,3237,2036,3021,1873,1630,870,396,731,11399,9095,60,177,7,48,161,20756,40.1,37.7,41.9,8491,2,5056,320,9,27.021,1.193,5,4,20947.0,1393.0,3385.0,13958.0,2645.0,5637.0,3423.0,1342.0,911.0,16368.0,2574.0,3237.0,2036.0,3021.0,1873.0,1630.0,870.0,396.0,731.0,11399.0,9095.0,60.0,177.0,7.0,48.0,161.0,20756.0,40.1,37.7,41.9,8491.0,2.0,5056.0,320.0,9.0,11.0055,0.6695,21.35441217804804,19.32378900000847,21.365321702221074,20.185666586390738,13.405015420761671,9.188675107316321,19.964822209544785,18.69390609555908,15.708219346836069,15.6576045819252,15.24804263505973,12.972165154502289,12.153290170357272,9.926882759806347,8.365817612304317,19.913497574250368,6.679728074666089,23.253628454062003,65.94382069500558,30.842170308498364,144.93134606675164,17.315030339202874,0.4002283303947797,-0.2451409697050958,-0.26384338398414275,0.006407799429537478,-0.1641012722150906,-0.4152744453265545,-0.3836678416399513,-0.27361370515183336,-0.10344093982270826,-0.19951229830939976,-0.11706753275896412,-0.13698676750785743,-0.30952336511096795,-0.4294262327572103,-0.5178179523067338,-0.5571809850734692,-0.18631811058851974,-0.06596279279729507,-0.2915711078747118,0.03420503861745221,-0.21262733510904555,-0.7969481557906208
"Calhoun County, Alabama",Calhoun County,Alabama,AL,118572,8221,20059,78975,13254,25440,26168,8092,6021,94767,12430,17540,11072,15252,11161,10474,7834,2621,6383,88840,24382,540,845,96,1894,1975,114679,38.2,36.5,39.6,47331,2,27126,566,25,1.771,0.034,1,1,118572.0,8221.0,20059.0,78975.0,12942.5,25440.0,26168.0,8092.0,6021.0,94767.0,12430.0,17540.0,11072.0,15252.0,11161.0,10474.0,7834.0,2621.0,6383.0,88840.0,13646.5,540.0,845.0,96.0,1894.0,1975.0,114679.0,38.2,36.5,39.6,47331.0,2.0,27126.0,566.0,25.0,1.771,0.034,29.082808765176196,26.31671800581183,32.28103327682024,27.99915363987933,19.188987618098782,12.235144008734448,27.256904254092323,27.304559277746122,22.147003153035357,22.87403489914569,21.154332066902686,18.46672176660779,17.422104971415692,15.028952532223782,12.064502903336896,29.255780260315632,11.51177102252085,32.112987601327816,62.21372578432906,29.890687124544023,133.64294414363107,23.603592057050182,0.4002283303947797,1.3110117019798495,1.2808010278577946,1.6006645695490853,1.2665593394747414,1.346062174121633,0.9967045898368949,1.2756387158476397,1.287517982995026,1.3224005802045287,1.4851555338281703,1.3383007815671095,1.2631486829577911,1.1487067408443916,1.2676924482220377,1.0527812460111148,1.3527587942367338,-0.4522272613259864,-0.5348588869257029,-0.434189578817901,1.3473069465317797,-0.7969481557906208
"Chambers County, Alabama",Chambers County,Alabama,AL,34215,2291,5544,23698,4537,9109,6894,2131,1027,27895,3618,4790,3729,5369,3447,3307,1519,776,1340,20112,13257,69,168,10,214,385,33679,41.5,39.8,43.4,13933,2,7703,210,4,14.642999999999999,0.76,3,3,34215.0,2291.0,5544.0,23698.0,4537.0,9109.0,6894.0,2131.0,1027.0,27895.0,3618.0,4790.0,3729.0,5369.0,3447.0,3307.0,1519.0,776.0,1340.0,20112.0,13257.0,69.0,168.0,10.0,214.0,385.0,33679.0,41.5,39.8,43.4,13933.0,2.0,7703.0,210.0,4.0,11.0055,0.6695,23.357776828388655,21.290415715065656,24.652917256723445,22.454246154427455,15.24665052020126,9.939029322181929,21.999711806375124,20.33714360861037,17.059899340237745,18.00038113539511,17.18741327630353,14.704996637913496,14.01436239264616,11.109678938169965,9.34470673059024,22.223793789804553,8.220508019091472,25.533212561671746,68.71328217881879,32.502628456694325,152.43887797993452,18.985168832809826,0.4002283303947797,0.1582468763817716,0.17055813261514763,0.4865662787335125,0.2512788788309615,0.14554072280261482,-0.04367806804968418,0.15871242819348289,0.16200650449149523,0.11997958890181722,0.4030858490136969,0.34743401699402027,0.1864539867230771,0.12800832342762727,-0.10388890539499811,-0.13109052728811585,0.20969871120514522,0.22082470022168763,0.13299674775761852,0.3457183566502404,0.2016655363231356,-0.7969481557906208
"Cherokee County, Alabama",Cherokee County,Alabama,AL,25989,1899,4596,18797,3850,7179,5424,1237,1107,21691,2768,4057,2573,3832,2649,2637,1534,384,1257,24081,1208,135,54,1,123,387,25669,43.9,43.1,44.9,10626,2,5566,501,26,2.116,0.192,2,2,25989.0,1899.0,4596.0,18797.0,3850.0,7179.0,5424.0,1237.0,1107.0,21691.0,2768.0,4057.0,2573.0,3832.0,2649.0,2637.0,1534.0,384.0,1257.0,24081.0,1208.0,135.0,54.0,1.0,123.0,387.0,25669.0,43.9,43.1,44.9,10626.0,2.0,5566.0,501.0,26.0,2.116,0.192,22.218328622461893,20.412452722843085,23.61060396331252,21.304907785215654,14.599227672015719,9.058801281368085,21.021389347554166,19.03546715123476,16.477349498609705,16.535233917514763,16.030270948067972,13.939638519912911,13.400823537936265,11.131171667142386,9.239465224527446,22.997491232992807,8.230085372025728,24.233516470914086,73.50078776374244,35.1006828663056,160.05860096867934,18.05803953499323,0.4002283303947797,-0.07118692012561573,-0.023372140181154705,0.33433478990663884,0.04083338591867846,-0.05161264029647428,-0.44251441277216125,-0.04913883137645412,-0.048265404584339706,-0.01771568601894522,0.07778752764945385,0.05840015079880055,-0.032609607287430564,-0.055760879659363244,-0.09636735182404019,-0.17690000729830996,-0.0160887530262971,0.7165877691574531,0.7973015907933855,0.6618868682414606,-0.02831722286218335,-0.7969481557906208
