Total Population,Total Citizen Income,Hispanic or Latino,Total Citizen Educated in US,Total Households,White Race,Total Families,Hispanic or Latino_iqr,Citizen High School  Graduate,Citizen Some College  Education,Citizen College Degree,Citizen Income over 75000,Citizen No Income,Citizen Income 1-9999,Pacific Islander Race,Native American Race,Citizen Graduate or Professional Degree,Citizen Less than High School  Education,Citizen Income 15000-24999,Citizen Income 35000-49999,Death Rate Categories
54571,44109,53261,36757,20221,9643,14613,53261.0,12363,10697,5316,5298,6377,6955,466,474,3860,4521,6000,5727,2
182265,166364,174273,143022,73180,17105,41898,140466.75,39771,45286,29237,17954,20201,25080,3631,1348,14731,13997,26852,21502,1
27457,21627,26070,18434,9820,12875,6015,26070.0,6549,4707,1403,1019,3968,5090,894,107,815,4960,3419,1820,1
22915,18743,22509,15859,7953,5047,5201,22509.0,6958,3971,1289,953,4170,3268,185,22,808,2833,2926,1860,1
57322,46501,52696,39475,21578,761,14106,52696.0,12740,13583,3416,2690,10165,6561,2347,117,1756,7980,6956,5639,1
10914,8684,10137,7377,3745,7666,2430,10137.0,2699,1575,485,473,1185,2075,569,20,505,2113,1184,842,3
20947,16368,20756,13958,8491,9095,5056,20756.0,5637,3423,1342,731,2574,3237,48,177,911,2645,3021,1630,4
118572,94767,114679,78975,47331,24382,27126,114679.0,25440,26168,8092,6383,12430,17540,1894,845,6021,13254,15252,10474,1
34215,27895,33679,23698,13933,13257,7703,33679.0,9109,6894,2131,1340,3618,4790,214,168,1027,4537,5369,3307,3
25989,21691,25669,18797,10626,1208,5566,25669.0,7179,5424,1237,1257,2768,4057,123,54,1107,3850,3832,2637,2
43643,35065,40223,29697,16558,4230,10960,40223.0,12902,6920,2809,2698,5918,6322,1854,130,1675,5391,5085,3936,1
13859,11010,13786,9449,5866,6012,3141,13786.0,3766,2702,745,664,1494,2487,28,12,355,1881,1752,1162,3
25833,20199,25562,16921,10337,11336,6389,25562.0,7503,4089,1422,1482,4732,4020,67,77,771,3136,2583,1915,2
13932,11066,13533,9455,5670,2066,3144,13533.0,3188,2772,562,621,1323,2268,172,24,408,2525,1887,1134,2
14972,12070,14665,10387,5891,498,3551,14665.0,3887,2705,807,674,1511,2560,151,23,476,2512,2235,1356,1
49948,41118,46768,34736,19849,8359,12084,46768.0,10190,11594,5111,4346,5609,7211,1623,644,2766,5075,6502,4371,1
54428,44836,53335,38423,22773,8768,12034,53335.0,12958,12077,4403,2776,5637,7851,510,229,2804,6181,7826,5655,2
13228,10339,13067,8772,5625,6149,3042,13067.0,4208,1954,458,252,1963,2036,97,17,310,1842,1834,974,2
11539,9422,11309,8117,4794,3582,2370,11309.0,3123,2215,611,446,1176,1773,135,16,281,1887,1783,1024,2
37765,30711,37282,26416,15531,4716,8523,37282.0,9397,8177,2740,2093,4529,5404,135,155,1359,4743,5035,3168,1
13906,11275,13702,9588,5652,3254,3308,13702.0,3625,2420,1143,632,1488,2207,99,189,419,1981,1969,1407,2
80406,66508,76952,56720,31864,856,18641,76952.0,20338,17778,5409,4084,12443,10854,1759,343,3048,10147,11007,7644,1
50251,39778,47430,33288,20065,9679,12477,47430.0,10839,12189,3688,3151,5729,7604,882,534,1899,4673,6350,4685,0
43820,32532,43511,26849,17064,30423,11595,43511.0,9822,8193,2181,1592,5263,7429,84,149,1628,5025,5589,3224,2
71109,56732,61419,47694,26842,1078,18366,61419.0,16211,12710,3638,2529,9415,10991,7051,203,2564,12571,9941,5640,1
79303,65982,77174,55278,28301,15900,18707,77174.0,18829,16289,7983,6225,10704,11796,938,518,4646,7531,7915,7655,2
38319,30647,37601,25896,14157,12220,8679,37601.0,11346,6477,1956,1431,7941,4935,343,92,1190,4927,4407,2742,2
104430,84773,100983,71745,42036,15796,23986,100983.0,23315,24155,7435,4988,11586,15624,1975,672,4684,12156,14645,9539,2
17241,13780,17037,11715,7100,1969,3837,17037.0,4444,3174,1178,656,1674,2882,102,37,534,2385,2334,1585,1
31704,25131,26994,20734,12286,1228,7867,26994.0,7767,5286,1722,1153,4200,4761,3338,63,1056,4903,4451,2721,2
26790,21766,25870,18666,10920,2539,5991,25870.0,6655,6015,1407,1038,3067,3954,409,67,669,3920,3932,2575,0
9045,6892,8976,5830,3764,7370,2194,8976.0,2156,1646,486,170,1373,1708,25,15,177,1365,1105,577,3
15760,12177,15620,10161,6273,9301,3915,15620.0,4343,2429,1008,682,1913,2630,44,35,456,1925,1844,1144,3
17302,14188,16913,12123,6994,4942,3918,16913.0,4105,3596,1087,1042,1899,2464,206,54,987,2348,2566,1602,2
101547,83891,98552,71238,40969,26176,24926,98552.0,22694,23186,9418,6741,11726,15058,1244,820,5485,10455,13624,9839,1
53227,43138,51888,37016,21513,1781,11985,51888.0,15080,10087,3192,2397,7549,7309,768,185,1764,6893,7558,4631,1
658466,532449,632978,447048,263568,276525,154528,140466.75,119622,137189,86862,58757,69214,93602,14358,9158,55817,47558,77253,63177,2
14564,11518,14384,9938,6103,1643,3227,14384.0,3736,2851,880,448,1616,2183,82,4,437,2034,1840,1419,0
92709,77289,90627,63168,38680,9257,19982,90627.0,22269,17735,8710,5869,9449,14335,977,685,5520,8934,12260,9921,1
34339,27280,33765,23370,13654,3938,7964,33765.0,9546,6308,1671,1889,4636,4966,275,42,709,5136,3941,3510,0
140247,128522,135676,92452,55682,31901,31591,135676.0,22660,28267,18261,11706,18558,28448,1873,3658,13961,9303,15831,15387,2
82782,74429,78191,63026,31446,10429,19859,78191.0,19353,17937,10410,8165,13102,12550,2866,924,5084,10242,9423,8591,0
11299,8392,11212,7065,4352,8310,2732,11212.0,2549,1847,671,310,1159,2217,31,14,300,1698,1297,868,4
21452,16529,21220,12280,8499,17729,4420,21220.0,3968,3588,1332,640,2144,4816,69,76,1134,2258,2461,1607,2
334811,288412,319407,239756,134700,80376,79490,140466.75,50525,69895,60410,48130,40305,43660,6719,8265,36912,22014,35827,31889,1
21027,16029,20675,13557,8535,10872,5191,20675.0,5375,3814,1315,1276,2503,3602,140,53,774,2279,2431,1327,3
30776,24920,30144,21406,12651,1184,6665,30144.0,7563,6831,1784,1314,3122,4584,291,54,1094,4134,5053,2669,3
93019,75215,81781,63248,35810,1494,23259,81781.0,19782,19593,7353,5154,11226,13746,7210,478,3859,12661,12960,8815,2
412992,332515,403056,275878,158435,142992,103581,140466.75,89951,84512,42066,27461,54555,56919,3885,7561,21479,37870,51740,37806,2
23068,17655,22848,14794,9214,9614,5841,22848.0,6910,3528,1079,879,4683,3349,66,67,764,2513,2343,1417,2
229363,182019,221049,149318,89981,125477,56167,140466.75,38205,41568,28898,18312,24755,35288,4743,4821,19265,21382,25346,21790,2
119490,96596,110334,82094,47030,14185,28624,110334.0,24521,26101,11822,8659,13851,16372,5697,691,5320,14330,15946,10669,1
10591,7909,10477,5858,3947,7276,2553,10477.0,2458,1238,512,213,1889,1940,16,30,479,1171,1421,526,0
19746,16783,19433,14241,8012,8211,4601,19433.0,5384,4308,1248,833,2468,3792,128,36,431,2870,3048,1663,2
32899,27818,32169,19657,13210,12054,6682,32169.0,6493,4579,2930,1638,5037,6622,341,654,1930,3725,4392,2784,2
22913,18493,22264,15594,9164,4607,5473,22264.0,5717,4264,1415,703,2924,3051,369,55,854,3344,3354,2403,2
52947,46137,51001,38710,21229,22135,13499,51001.0,12536,13020,4092,2619,6967,8823,691,236,2444,6618,7178,5359,0
83593,70342,81877,60248,31624,7150,19826,81877.0,21794,19278,6366,5610,10931,10922,734,518,3277,9533,10768,8460,1
195085,167333,183518,141263,74072,20732,49962,140466.75,29544,40834,39369,28554,20576,24656,5373,3726,20290,11226,19889,19885,2
13763,10969,13677,8244,5629,10316,3068,13677.0,3276,2037,872,316,2591,2921,26,33,630,1429,1574,816,3
82291,66462,80620,56103,31890,26055,19285,80620.0,19706,17852,4620,3916,9862,13189,787,339,2986,10939,11507,7743,1
41616,33625,40574,28609,16985,11083,9219,40574.0,9728,8185,3474,1859,5227,5342,713,197,1736,5486,5488,3760,4
194656,168608,188707,125145,76141,57611,41786,140466.75,36791,35722,23230,14302,23723,35019,2993,2306,14595,14807,24017,19285,2
67023,53033,65716,45197,26571,3928,15107,65716.0,16881,14287,3014,2997,7804,10164,639,195,1996,9019,8834,5716,2
17581,13695,17430,11607,6758,4380,4484,17430.0,5200,3131,785,958,2278,2819,43,20,453,2038,2085,1207,2
11670,8775,11598,7242,4484,8465,3150,11598.0,3130,1733,578,355,2007,1952,9,4,290,1511,1572,759,3
24484,19836,23845,17255,10163,115,5299,23845.0,6242,4854,1354,833,2408,4168,356,60,876,3929,3472,2003,1
3141,2986,2756,2555,553,219,371,2756.0,1063,835,196,265,32,496,84,1130,97,364,556,423,0
5561,4934,4835,4147,1212,332,815,4835.0,1622,1369,517,836,248,651,348,1606,154,485,933,624,0
291826,236150,269765,192310,107332,16226,75786,140466.75,45685,67389,42216,46519,12582,38977,6846,23580,24273,12747,28293,31838,1
17013,12574,16832,9578,4651,65,6218,16832.0,4281,2196,748,1222,326,4923,45,160,457,1896,1553,1144,0
997,751,973,650,423,0,225,973.0,227,243,99,172,9,117,4,8,33,48,78,120,0
1826,2042,1784,1590,806,10,411,1784.0,454,409,483,310,23,568,14,19,224,20,294,287,0
4847,3671,4746,2876,1563,11,1595,4746.0,1112,874,285,444,34,1092,12,32,214,391,582,334,0
97581,79252,91930,61853,36441,4423,25001,91930.0,13420,24613,12885,15081,4783,13484,1446,2591,7586,3349,9844,10636,1
2508,2118,2461,1867,1149,10,499,2461.0,531,625,403,334,19,369,21,14,245,63,262,268,0
