NAME,Covid Confirmed Cases,Covid Deaths ,Population,Covid Case Rate (per 1000),Covid Death Rate (per 1000), Households SNAP , Estimated Individuals SNAP , Total Citizen Educated in US , Citizen Less than High School  Education , Citizen High School  Graduate , Citizen Some College  Education , Citizen College Degree  , Citizen Graduate or Professional Degree , Total Citizen Income , Citizen No Income ,"Citizen Income $1-$9,999","Citizen Income $10,000-$14,999","Citizen Income $15,000-$24,999","Citizen Income $25,000-$34,999","Citizen Income $35,000-$49,999","Citizen Income $50,000-$64,999","Citizen Income $65,000-$74,999","Citizen Income $75,000 +", Total Population , One Race Population , White Race , Black Race , Native American Race , Asian Race , Pacific Islander Race , Other Race Alone , Hispanic or Latino ,Median Age,Male Median Age,Female Median Age, Total Households , Average Household Size , Total Families 
"Albany County, New York",87943,3989,304204,289.0921881,13.11291107,15087,34247,204833,15255,50589,55932,43162,39895,261188,26674,43585,20235,32428,25756,33524,27677,12202,39107,304204,237873,38609,654,14579,98,4744,7647,289287,38.5,36.8,40,126251,2,60631
"Allegany County, New York",2601,126,48946,53.14019532,2.574265517,2994,7305,30331,3219,11464,9645,3012,2991,39483,4836,9029,3776,6261,4245,4999,3064,1003,2270,48946,47085,524,113,452,9,206,557,48276,37.8,36.2,39.2,18208,2,10576
"Bronx County, New York",2544478,234021,1385108,1837.024983,168.9550562,184934,512267,927374,264309,256066,227450,115670,63879,1148779,240151,230548,123943,161033,105790,114434,72401,27960,72519,1385108,386497,505200,18260,49609,1288,351011,73243,643695,32.8,30.6,34.9,483449,3,368196
"Broome County, New York",24218,1802,200600,120.7278166,8.983050847,13226,30684,129802,12429,40700,40265,20371,16037,164680,20008,31726,15421,25172,18708,20756,13064,5762,14063,200600,176444,9614,396,7065,82,1912,5087,193822,40.2,38.1,42.2,82167,2,40559
"Cattaraugus County, New York",3875,128,80317,48.24632394,1.593685023,5801,13980,53201,6188,21015,15930,5702,4366,63623,6661,11149,7100,10495,7924,8822,5622,1929,3921,80317,74639,1024,2443,528,15,305,1363,78972,40.7,39.8,41.6,32263,2,18801
"Cayuga County, New York",3917,113,80026,48.94659236,1.412041087,4256,10257,55476,6872,18110,18041,7518,4935,65512,8248,9950,5566,10301,7465,9102,5915,3268,5697,80026,74042,3195,283,390,31,654,1431,78130,41.5,40,43.1,31445,2,17298
"Chautauqua County, New York",3302,119,134905,24.47648345,0.88210222,10496,24876,90242,10368,32162,28566,10576,8570,108699,11483,21845,11137,18565,13071,13827,8653,3580,6538,134905,124875,3197,689,688,36,2669,2751,126664,40.9,39.6,42.3,54244,2,29446
"Chemung County, New York",7622,175,88830,85.80434538,1.970055162,5557,13170,60124,5744,21231,18039,8149,6961,71187,10249,11204,6494,10326,7744,8804,7055,2896,6415,88830,78771,5828,233,1057,20,549,2372,86590,40.9,39.4,42.4,35462,2,19880
"Chenango County, New York",6992,154,50477,138.5185332,3.050894467,3848,9351,34561,4204,13451,10461,3571,2874,40431,4173,6823,4183,6885,5004,5465,3528,1597,2773,50477,48896,345,172,204,6,205,649,49548,42.9,42,43.9,20436,2,11479
"Clinton County, New York",5039,228,82128,61.35544516,2.776154296,5897,13976,55125,7290,20454,15327,6200,5854,69043,10302,12278,6216,9054,8301,8683,6423,2405,5381,82128,75997,3209,286,898,19,540,1179,80074,39.1,38,40.2,31582,2,15890
"Columbia County, New York",17106,1631,63096,271.1106885,25.84949918,2879,6766,45715,4825,14109,13006,7112,6663,52531,5622,7489,4514,7005,6213,7439,5411,2164,6674,63096,57136,2855,123,1002,18,683,1279,60642,45.3,44.4,46.2,25906,2,12807
"Cortland County, New York",2111,62,49336,42.78822766,1.256688828,2569,6294,30199,2852,10308,9182,4460,3397,40542,3847,8323,3721,5995,5228,5356,3792,1311,2969,49336,46901,760,137,416,5,271,846,48242,35.8,35.3,36.4,18671,2,10411
"Delaware County, New York",4362,129,47980,90.91288037,2.688620258,3052,6989,32972,4051,12403,9386,3997,3135,39605,3968,7610,4612,6061,4775,5093,3648,1208,2630,47980,45675,779,131,367,12,394,622,46420,45.4,44.3,46.3,19898,2,9405
"Dutchess County, New York",209410,6134,297488,703.9275534,20.6193191,11122,28584,204168,19495,53465,60566,38896,31746,249045,28465,42551,19754,29044,23766,28076,22985,10449,43955,297488,238387,29518,893,10437,108,10345,7800,266221,40.2,39.2,41.2,107965,3,65969
"Erie County, New York",273390,20645,919040,297.4734506,22.46365773,64923,150621,642871,56978,179951,194586,117778,93578,768445,77708,126205,68916,108417,88286,102487,73513,32498,90415,919040,735244,123931,5908,23789,219,13427,16522,877309,40.4,38.5,42.1,383164,2,198944
"Essex County, New York",1898,0,39370,48.20929642,0,1842,4163,28866,2638,9615,8909,4186,3518,33151,3493,5376,2932,5139,4341,4634,2921,1459,2856,39370,37100,1073,126,263,9,320,479,38377,44.5,42.5,46.4,16262,2,7586
"Franklin County, New York",1181,0,51599,22.88804047,0,3387,8027,35862,4944,13328,10899,3240,3451,43083,8794,7093,3887,5230,4412,5230,3915,1727,2795,51599,43437,3127,3797,219,10,385,624,50093,39.3,37.3,41.8,19054,2,10720
"Fulton County, New York",7702,682,55531,138.6973042,12.28142839,3434,8242,38651,5042,13794,12985,3778,3052,44913,4803,7363,4277,7268,6327,5783,4023,1519,3550,55531,52948,1060,116,321,13,296,777,54268,41.8,40.6,43,22554,2,12326
"Genesee County, New York",10182,224,60079,169.4768555,3.728424241,3059,7495,41240,3654,14790,13954,5226,3616,48723,4375,7774,4792,7641,6083,7092,4921,1778,4267,60079,55787,1612,679,357,4,575,1065,58463,41.5,40.3,42.6,23728,2,13259
"Greene County, New York",10814,456,49221,219.7029723,9.264338392,1436,3317,35151,4958,12827,9623,4380,3363,41120,6627,6140,4072,6041,4523,5071,3289,1436,3921,49221,44440,2826,145,391,19,551,849,46802,44,42.3,45.9,19823,2,9482
"Hamilton County, New York",304,35,4836,62.86186931,7.23738627,112,235,3604,441,1155,1286,313,409,4121,314,850,546,612,535,453,542,88,181,4836,4705,35,11,24,4,4,53,4785,51.3,50.9,51.8,2262,2,795
"Herkimer County, New York",5173,221,64519,80.17793208,3.425347572,4510,10824,43979,4480,16040,14351,5258,3850,52072,5309,9221,5202,8478,6652,7338,4896,1560,3416,64519,62320,700,157,332,11,220,779,63479,42.1,41.1,43.1,26324,2,14298
"Jefferson County, New York",4302,0,116229,37.01313786,0,7286,18434,73008,7110,24512,25733,9044,6609,92104,10384,15509,8455,15355,11931,11892,8270,3267,7041,116229,103047,5876,586,1518,298,1668,3236,110086,32.6,31.2,34.2,43451,3,29633
"Kings County, New York",3161699,347696,2504700,1262.306464,138.8174232,231794,623526,1789355,345445,460338,354282,380135,249155,2118407,388569,344896,185320,261999,198462,217982,166913,74679,279587,2504700,1072041,860083,13524,262276,1243,219229,76304,2008415,34.1,32.4,35.7,916856,3,594378
"Lewis County, New York",859,267,27087,31.71262967,9.857127035,1625,4144,18363,1861,8436,5080,1664,1322,21695,2459,3375,2203,3315,2683,3400,1800,759,1701,27087,26465,184,53,75,16,56,238,26730,40.2,39.7,40.7,10514,3,6703
"Livingston County, New York",5584,138,65393,85.39140275,2.110317618,3431,8372,42717,4664,14257,13683,5614,4499,54812,7341,10791,4912,7092,5529,7718,5375,1695,4359,65393,61363,1598,187,785,18,495,947,63591,39.8,38.9,40.8,24409,2,13217
"Madison County, New York",14456,405,73442,196.8355982,5.514555704,3641,8957,47707,4255,16389,14159,7427,5477,60228,8632,10254,4717,7840,7257,7710,6078,1913,5827,73442,69740,1350,524,583,17,270,958,72126,39.5,38.7,40.3,27754,2,16005
"Monroe County, New York",128523,8208,744344,172.6661329,11.02715949,47384,113248,510165,49494,123741,147912,105288,83730,617804,59217,102788,54754,87966,75958,81029,57367,24575,74150,744344,566535,113171,2136,24281,227,18885,19109,690339,38.5,36.6,40,300422,2,168699
"Montgomery County, New York",4172,228,50219,83.07612657,4.540114299,3804,9244,34126,5062,12036,11210,3460,2358,40173,4474,7519,4024,6058,4881,5441,3412,1298,3066,50219,45519,951,169,369,19,2211,981,44565,40.8,39.4,42.3,20272,2,11801
"Nassau County, New York",2417339,114221,1339532,1804.614597,85.26933287,23856,70137,942504,84880,219372,220149,229392,188711,1121132,156847,141800,73049,116738,97397,113534,96907,48433,276427,1339532,977577,149049,3185,102266,336,75211,31908,1144177,41.1,39.5,42.7,448528,3,311580
"New York County, New York",1552632,147899,1585873,979.0393052,93.26030521,109995,218890,1259137,166091,156607,172290,397987,366162,1448890,190625,199792,101200,133809,99187,119466,115115,59034,430662,1585873,911073,246687,8669,179552,873,175696,63323,1182296,36.4,36,36.8,763846,2,234435
"Niagara County, New York",41383,2536,216469,191.17287,11.71530335,12003,28087,150502,13588,52205,49339,20569,14801,177438,17887,28262,16597,26850,22535,24804,15767,7301,17435,216469,191673,14851,2285,1823,62,1108,4667,211775,41.9,40.5,43.2,90556,2,46490
"Oneida County, New York",41436,1815,234878,176.4149899,7.727415935,16861,40129,159917,19076,53357,49274,22777,15433,191432,23099,32464,18886,27632,23243,25896,16840,6569,16803,234878,204679,14688,605,6565,69,3407,4865,224059,40.8,39.3,42.4,93028,2,51377
"Onondaga County, New York",85740,4135,467026,183.5872093,8.853896785,27885,66924,316513,29147,80811,95788,62078,48689,384484,43296,61245,31971,51852,44517,50384,37073,17232,46914,467026,378885,51220,3818,14454,148,5479,13022,448197,38.6,37,39.9,187686,2,107255
"Ontario County, New York",8545,558,107931,79.17095181,5.169969703,4536,11022,76354,5165,21491,23984,14319,11395,90925,7575,14487,7314,13443,10629,12830,9093,4079,11475,107931,101078,2432,276,1126,24,1196,1799,104252,42.1,41,43.2,43019,2,24300
"Orange County, New York",583025,18069,372813,1563.853728,48.46665755,14086,40286,240447,24494,71195,73772,41214,29772,298145,45559,40694,23476,36709,29536,32485,25456,11972,52258,372813,287802,37946,1748,8895,125,24615,11682,305628,36.6,34.8,38.2,125925,3,101529
"Orleans County, New York",8556,1195,42883,199.5196232,27.86652053,2845,7113,29704,3888,11706,9394,2874,1842,34837,5564,5133,3425,5264,4480,4550,3179,1048,2194,42883,38528,2523,247,179,9,567,830,41126,41,40,42,16119,3,9540
"Oswego County, New York",5102,130,122109,41.78234201,1.064622591,8291,20893,80201,10471,30749,24278,8412,6291,98819,9987,19347,9818,15075,12003,12460,8704,3121,8304,122109,117632,972,520,723,16,650,1596,119557,38.5,37.7,39.3,46400,3,28223
"Otsego County, New York",4234,219,62259,68.00623203,3.517563726,2778,6417,40004,3587,13077,11505,6124,5711,52579,4788,12575,4899,7511,6300,6369,4458,1389,4290,62259,58935,1066,121,674,18,413,1032,60338,40.9,40.1,41.7,24620,2,11618
"Putnam County, New York",65769,3142,99710,659.6028483,31.51138301,1365,3781,70373,5076,19539,18632,15619,11507,82991,9866,10339,5261,9429,7616,8996,7976,3841,19667,99710,90470,2350,175,1882,35,2833,1965,88049,41.9,40.9,42.9,35041,3,23650
"Queens County, New York",3587059,330094,2230722,1608.026011,147.9763054,112954,318530,1665576,314557,461228,376485,325374,187932,1941166,350752,279954,157847,259941,197805,218228,165761,72367,238511,2230722,886053,426683,15364,511787,1530,288392,100913,1616972,37.2,35.7,38.8,780117,3,461901
